Actor,Followers,Is_In_IMDB,Score
Kristine Cabanban,1513,0,
Sebastian Sozzi,2001,0,
Kent Shocknek,,0,
Ralph Lister,7287,0,
Sammy A. Publes,494,0,
Jay R. Adams,1319,0,
David Midura,112,0,
Jay Towers,48716,0,
Michael Ellison,3850,0,
Kirill Ostapenko,101,0,
Rashontae Wawrzyniak,273,0,
Tom Luginbill,4014,0,
Dave Pasch,170,0,
Danny Mooney ,32726,0,
Henry Frost III,437,0,
Nicole Forester,2291,0,
Debbie Stabenow,6303,0,
Milica Govich ,12787,0,
John Lepard,39682,0,
Sandra Love Aldridge,57,0,
Graham W.J. Beal,185,0,
Henri Franklin,2638,0,
Jonathan West,1102,0,
T.J. Martinelli,528,0,
Chris Newman,2392,0,
Lulu Dahl,95,0,
Sam Logan Khaleghi,902,0,
Anne Marie Damman,627,0,
Connie Craig,6418,0,
Henrietta Hermelin,,0,
Albert Valladares,15154,0,
David Paris,1346,0,
Abigail Kuklis,1241,0,
Greg Violand,33295,0,
Tiren Jhames,12688,0,
Steve Jasgur,922,0,
Jonathan Stanley,4491,0,
Jesse Nagy,302,0,
Duvale Murchison,1263,0,
Thomas J. Fentress,384,0,
Coburn Goss,,0,
Jeff Hanlin,1315,0,
Gary A. Hecker,136,0,
Robin Atkin Downes,8625,0,
Issac Ryan Brown,524644,0,
Barton Bund,854,0,
Bailey Chase,219972,0,
Patrick O'Connor Cronin,286035,0,
Sonja Crosby,160,0,
C.T. Fletcher,2616767,0,
Ahman Green,,0,
Diana Gaitirira,,0,
Jalene Mack,12614,0,
Esodie Geiger,,0,
Nene Nwoko,11026,0,
Scott Edward Logan,390,0,
Marcus Goddard,412,0,
Cruz Gonzalez-Cadel,2221,0,
Alma Martinez,287,0,
Sal Lopez,,0,
Marcel Shihadeh,,0,
Theo Bongani Ndyalvane,5505,0,
Satori Shakoor,,0,
Ele Bardha,2559,0,
Inder Kumar,5005,0,
Brandon Bautista,9908,0,
Laura Atwood,1339,0,
Debbie Scaletta,1278,0,
David Leach,1330,0,
Gordon Michaels,1238,0,
Brian Boland,17873,0,
Taras Los,110,0,
Jason Hughley,2821075,0,
Sidi Henderson,32322,0,
Meighan Gerachis,,0,
Nicole Santini,822,0,
Axel Harney,310,0,
Wayne E. Brown,155461,0,
Dante Briggins,3,0,
Shannon Garnett,84,0,
Lynch R. Travis,505,0,
Carmen Gangale,1078,0,
Joe Cipriano,2233,0,
Will Blagrove,29788,0,
Marcelo Bem,531,0,
Brandon Routh,1136232,0,
Kevin Spacey,602389,0,
Kate Bosworth,1001618,0,
James Marsden,1691069,0,
Parker Posey,128533,0,
Frank Langella,637,0,
Sam Huntington,38332,0,
Eva Marie Saint,598,0,
Marlon Brando,189268,0,
Kal Penn,396586,0,
Tristan Lake Leabu,16048,0,
David Fabrizio,125,0,
Ian Roberts,20455,0,
Vincent Stone,1103,0,
Jack Larson,771,0,
Noel Neill,,0,
Keegan Joyce,53147,0,
Jordana Beatty,6409,0,
Olga Kurylenko,819071,0,
Mathieu Amalric,859,0,
Giancarlo Giannini,1771,0,
Gemma Arterton,70633,0,
Jeffrey Wright,140361,0,
David Harbour,9512805,0,
Anatole Taubman,694,0,
